league_name,website,discovery_status,clubs_found_count
Siouxland YMCA NFL FLAG,https://www.nwsymca.org/flag-football,fetch_not_attempted,0
Spirit Football Omaha,https://www.spirit-football.com,fetch_not_attempted,0
Millard United Sports,https://www.millardunited.com,fetch_not_attempted,0
Gretna Youth Sports Foundation (GYSF),http://www.gretnayouthfootball.com,fetch_not_attempted,0
Vegas Sports Foundation / NFL FLAG Las Vegas,https://www.vegasflag.com,fetch_not_attempted,0
New Hampshire Youth Football & Spirit Conference,https://www.nhyfsc.org,fetch_not_attempted,0
Bedford Bulldogs Youth Football,https://bedfordbulldogs.org,fetch_not_attempted,0
South Jersey NFL FLAG,https://www.sjnflfl.com,fetch_not_attempted,0
South Jersey Youth Flag Football (SJYFF),https://sjyff.flagfootballnj.com,fetch_not_attempted,0
Northern Virginia Youth Football League (NVYFL),https://www.nvyfl.org,fetch_not_attempted,0
Washington Commanders NFL FLAG,https://www.commanders.com/youth-football/flag-football,fetch_not_attempted,0
Seattle Seahawks Flag Football League,https://www.seahawkflagfootball.com,fetch_not_attempted,0
Green Bay Packers NFL FLAG / Girls League,https://www.packers.com/community/football-outreach,fetch_not_attempted,0
New Hampshire Flag Football League,https://www.nhffl.com,fetch_not_attempted,0
YMCA Huntington Flag Football,,no_website,0
Casper Junior Football League,https://www.casperjrfootball.com,fetch_not_attempted,0
Cheyenne Youth Flag Football,https://www.cheyenneyouthflagfootball.org,fetch_not_attempted,0
Missoula Youth Football (MYF) Flag Division,https://www.missoulayouthfootball.org,fetch_not_attempted,0
Billings YMCA NFL Flag Football,http://billingsymca.org,fetch_not_attempted,0
Livingston Rec Falcons Youth Flag Football,https://www.livingstonmontana.org/rec/page/livingston-rec-falcons-youth-flag-football,fetch_not_attempted,0
Next Level Flag Football Bozeman (Montana State),https://www.nextlevelsports.com,fetch_not_attempted,0
Teamwork Sports Nebraska,https://www.teamworksportsne.com/flag-football,fetch_not_attempted,0
Detroit Lions High School Girls Flag Football League,https://www.detroitlions.com,fetch_not_attempted,0
Minnesota Vikings Girls Flag Football League,https://www.vikings.com/community/youth-football/girls-flag/,fetch_not_attempted,0
Dallas Cowboys High School Girls Flag Football,https://www.dallascowboys.com,fetch_not_attempted,0
PSAL Girls Varsity Flag Football (NY Jets partnership),https://www.psal.org,fetch_not_attempted,0
GHSA Girls Flag Football,https://www.ghsa.net/flag-football,fetch_not_attempted,0
